task,set,mean,std
input,1,0.6527777777777778,0.25230419617479094
input,2,0.5138888888888888,0.2424794760310577
vibration,1,0.9305555555555555,0.07296625298090946
vibration,2,0.5694444444444445,0.14353345203070905
